Neighborhood,Education Level,Employment Status,Age,Years of Experience,Annual Income,Gender,Household Size
Kingsley,Bachelors,Retired,63,0,33959,Female,4
Kingsley,Bachelors,Full-time,71,48,71825,Female,1
Kingsley,Bachelors,Retired,27,0,36347,Female,3
Huntington,Bachelors,Full-time,65,3,71156,Female,6
Huntington,Technical,Full-time,48,28,37713,Female,4
Rosedale,Technical,Part-time,54,14,25194,Female,2
Maplewood,Technical,Full-time,40,0,41512,Female,2
Kingsley,Technical,Retired,44,0,21867,Male,2
Rosedale,Bachelors,Part-time,23,5,40727,Male,5
Maplewood,Technical,Full-time,43,19,38546,Male,5
Ashford,Technical,Full-time,19,0,37303,Female,6
Huntington,Bachelors,Full-time,62,40,68681,Male,4
Maplewood,Postgraduate,Full-time,78,43,102852,Male,4
Ashford,Bachelors,Part-time,30,3,40221,Male,4
Maplewood,None,Retired,68,0,9374,Male,5
Huntington,None,Full-time,67,21,16082,Female,6
Huntington,Postgraduate,Full-time,77,12,103637,Female,4
Rosedale,Technical,Part-time,36,6,20592,Female,1
Kingsley,None,Retired,18,0,10608,Female,3
Maplewood,Bachelors,Full-time,57,7,70526,Female,7
Maplewood,Bachelors,Full-time,49,27,70179,Female,2
Ashford,Bachelors,Part-time,39,12,43472,Male,2
Huntington,Technical,Full-time,65,42,37775,Female,1
Maplewood,None,Full-time,46,8,16590,Male,4
Huntington,Postgraduate,Retired,19,0,51004,Male,6
Maplewood,Technical,Part-time,57,24,26230,Female,6
Rosedale,Bachelors,Part-time,55,15,39231,Male,5
Kingsley,Bachelors,Retired,65,0,35118,Male,4
Maplewood,Bachelors,Part-time,72,9,43454,Male,6
Huntington,Technical,Full-time,28,10,42960,Male,4
Rosedale,Technical,Full-time,34,11,36561,Male,2
Maplewood,Bachelors,Full-time,72,30,68646,Male,7
Ashford,Postgraduate,Full-time,68,13,102596,Female,7
Kingsley,Postgraduate,Part-time,60,31,62240,Female,7
Maplewood,Technical,Unemployed,77,0,11942,Male,2
Rosedale,Technical,Unemployed,25,0,10238,Female,5
Ashford,Postgraduate,Part-time,39,17,56600,Male,7
Rosedale,Bachelors,Full-time,21,0,70700,Male,2
Rosedale,Postgraduate,Full-time,28,0,101071,Male,4
Ashford,Technical,Retired,25,0,15709,Female,7
Rosedale,Bachelors,Part-time,26,2,39971,Male,1
Ashford,Bachelors,Part-time,43,0,37793,Female,5
Maplewood,Bachelors,Retired,19,0,33099,Female,1
Ashford,Bachelors,Retired,33,0,36030,Female,4
Ashford,None,Retired,48,0,10765,Female,5
Kingsley,Bachelors,Full-time,23,4,65026,Female,1
Ashford,Technical,Retired,70,0,21693,Male,5
Ashford,Bachelors,Unemployed,38,0,21322,Male,4
Maplewood,Postgraduate,Full-time,43,18,103276,Female,6
Kingsley,Technical,Part-time,76,3,24951,Female,7
Huntington,Postgraduate,Full-time,36,15,98101,Male,5
Maplewood,Technical,Unemployed,45,0,13609,Male,7
Maplewood,Bachelors,Full-time,25,6,74314,Male,7
Huntington,Postgraduate,Part-time,31,11,60309,Male,6
Ashford,Technical,Full-time,41,20,35011,Male,4
Rosedale,None,Retired,65,0,12770,Female,5
Kingsley,Bachelors,Full-time,61,20,74940,Female,5
Rosedale,None,Full-time,54,16,20413,Female,6
Huntington,Bachelors,Full-time,73,39,70774,Female,2
Maplewood,Postgraduate,Unemployed,43,0,25179,Female,6
Maplewood,Bachelors,Full-time,48,12,65796,Male,6
Kingsley,Technical,Full-time,73,51,42279,Male,6
Maplewood,Bachelors,Retired,68,0,37188,Female,4
Maplewood,Bachelors,Part-time,49,25,44312,Female,3
Kingsley,None,Unemployed,67,0,3024,Male,6
Kingsley,Bachelors,Full-time,58,31,72666,Other,5
Huntington,Bachelors,Part-time,19,0,40217,Male,1
Maplewood,Bachelors,Full-time,42,17,71584,Male,2
Maplewood,Technical,Full-time,69,14,44078,Male,6
Huntington,Bachelors,Part-time,61,11,42285,Male,6
Ashford,None,Part-time,78,60,14370,Female,2
Ashford,Technical,Retired,19,0,16519,Female,6
Ashford,Postgraduate,Full-time,59,14,101611,Male,5
Huntington,Bachelors,Full-time,18,0,71856,Female,3
Maplewood,None,Full-time,53,33,17432,Female,6
Huntington,Technical,Unemployed,74,0,13457,Female,2
Huntington,Technical,Full-time,29,5,39866,Female,6
Ashford,Technical,Full-time,26,0,40054,Male,4
Rosedale,Technical,Full-time,53,19,44108,Female,5
Maplewood,None,Part-time,58,8,9070,Male,5
Ashford,Bachelors,Full-time,80,58,66781,Female,3
Rosedale,Bachelors,Unemployed,45,0,24530,Male,4
Rosedale,Bachelors,Full-time,55,4,66516,Female,4
Kingsley,Bachelors,Unemployed,50,0,21491,Female,3
Maplewood,None,Full-time,59,22,24106,Male,7
Rosedale,Postgraduate,Part-time,78,32,60949,Male,7
Ashford,Postgraduate,Unemployed,63,0,28290,Female,1
Kingsley,Postgraduate,Full-time,39,5,99570,Female,7
Maplewood,Postgraduate,Unemployed,42,0,34638,Male,6
Huntington,Postgraduate,Full-time,78,55,96379,Female,4
Ashford,Bachelors,Unemployed,35,0,25675,Male,1
Rosedale,Technical,Part-time,23,5,26670,Male,1
Rosedale,Bachelors,Full-time,35,16,65800,Male,5
Ashford,Bachelors,Full-time,69,18,74438,Male,6
Rosedale,Bachelors,Full-time,33,0,70267,Female,5
Kingsley,Bachelors,Full-time,32,0,68495,Other,2
Maplewood,None,Full-time,65,12,18257,Male,7
Kingsley,Technical,Full-time,25,5,41558,Female,5
Rosedale,Postgraduate,Full-time,30,10,95981,Male,4
Huntington,Bachelors,Retired,72,0,32088,Female,4
Maplewood,Bachelors,Full-time,60,5,67952,Male,6
Maplewood,Technical,Full-time,77,58,44203,Female,1
Ashford,Technical,Part-time,78,5,21126,Female,4
Ashford,Postgraduate,Full-time,74,32,99812,Male,7
Huntington,Bachelors,Full-time,24,5,73063,Female,5
Maplewood,Bachelors,Full-time,34,13,68861,Male,7
Huntington,Bachelors,Unemployed,67,0,21903,Male,5
Ashford,Bachelors,Retired,49,0,32591,Male,6
Ashford,Technical,Full-time,39,2,44665,Male,7
Maplewood,Bachelors,Part-time,72,22,46357,Male,5
Kingsley,Bachelors,Part-time,68,9,40322,Male,7
Rosedale,Bachelors,Part-time,74,50,43437,Male,3
Ashford,Bachelors,Part-time,30,2,45801,Male,6
Ashford,Postgraduate,Part-time,64,27,57861,Female,6
Kingsley,None,Full-time,40,22,16655,Female,4
Kingsley,Postgraduate,Full-time,79,3,96755,Male,6
Huntington,Technical,Full-time,71,19,43237,Male,2
Huntington,Bachelors,Unemployed,46,0,25451,Male,4
Rosedale,None,Part-time,39,18,13227,Female,4
Rosedale,Technical,Retired,18,0,19638,Female,7
Maplewood,Bachelors,Unemployed,46,0,25643,Male,3
Huntington,None,Full-time,65,41,17567,Male,4
Ashford,Bachelors,Part-time,22,2,40123,Male,1
Huntington,Postgraduate,Part-time,75,56,60164,Male,5
Ashford,Technical,Unemployed,52,0,14081,Female,5
Kingsley,Bachelors,Unemployed,72,0,20907,Female,6
Huntington,Bachelors,Part-time,27,1,46680,Male,7
Kingsley,Bachelors,Full-time,36,3,74765,Female,3
Rosedale,Technical,Retired,54,0,19962,Male,5
Rosedale,Technical,Full-time,24,5,42150,Male,1
Maplewood,Technical,Retired,63,0,16766,Female,3
Huntington,None,Unemployed,52,0,4549,Female,2
Kingsley,Technical,Full-time,62,6,37309,Male,5
Ashford,Bachelors,Part-time,30,12,46634,Male,4
Rosedale,Postgraduate,Full-time,27,6,96976,Female,1
Rosedale,Postgraduate,Full-time,19,1,102180,Female,7
Ashford,Bachelors,Full-time,23,3,67490,Male,7
Kingsley,Technical,Retired,25,0,23917,Male,1
Kingsley,Technical,Unemployed,53,0,11381,Male,5
Huntington,Technical,Unemployed,42,0,12987,Female,6
Huntington,Technical,Full-time,61,25,42425,Female,2
Maplewood,Bachelors,Unemployed,77,0,19619,Male,4
Rosedale,Bachelors,Retired,64,0,36060,Female,2
Huntington,Technical,Full-time,57,25,43689,Female,2
Kingsley,Technical,Full-time,24,5,38976,Male,5
Ashford,Postgraduate,Full-time,63,18,95704,Male,4
Kingsley,Bachelors,Unemployed,40,0,21452,Female,5
Rosedale,Technical,Part-time,36,8,25094,Female,5
Kingsley,Postgraduate,Retired,63,0,48681,Female,6
Maplewood,Postgraduate,Full-time,39,19,99138,Female,1
Rosedale,Technical,Retired,30,0,16916,Male,7
Ashford,Technical,Full-time,78,41,44566,Male,6
Maplewood,Bachelors,Full-time,38,12,72501,Female,7
Rosedale,Postgraduate,Part-time,18,0,56845,Male,6
Ashford,Postgraduate,Full-time,76,49,99654,Female,5
Maplewood,Technical,Retired,36,0,21413,Female,6
Maplewood,Technical,Full-time,78,15,43111,Female,7
Rosedale,Bachelors,Part-time,77,53,44990,Male,6
Huntington,Bachelors,Full-time,50,16,74628,Female,3
Maplewood,Technical,Part-time,21,1,22090,Female,4
Maplewood,Postgraduate,Full-time,59,12,96370,Female,1
Ashford,Bachelors,Full-time,20,1,66928,Female,7
Kingsley,Postgraduate,Unemployed,44,0,26636,Male,4
Rosedale,Postgraduate,Full-time,69,0,101180,Male,1
Rosedale,Bachelors,Retired,58,0,38283,Male,3
Huntington,Bachelors,Unemployed,52,0,17843,Male,5
Huntington,Bachelors,Full-time,45,7,73376,Female,7
Rosedale,Technical,Full-time,23,4,44763,Female,1
Huntington,Bachelors,Part-time,23,5,37831,Female,1
Ashford,Technical,Unemployed,72,0,12538,Female,1
Rosedale,Bachelors,Unemployed,74,0,21315,Male,3
Huntington,Technical,Part-time,61,17,27455,Other,4
Rosedale,Technical,Retired,40,0,20327,Male,3
Kingsley,Technical,Full-time,79,1,36286,Male,1
Maplewood,None,Unemployed,50,0,2529,Female,6
Rosedale,Bachelors,Unemployed,33,0,26000,Female,1
Maplewood,Bachelors,Full-time,80,47,71655,Female,6
Huntington,Bachelors,Full-time,41,11,66877,Male,5
Maplewood,Technical,Full-time,22,0,44941,Female,3
Rosedale,None,Full-time,58,2,20431,Male,6
Kingsley,None,Retired,59,0,14389,Male,3
Huntington,Technical,Full-time,30,5,37478,Female,2
Rosedale,Postgraduate,Full-time,64,25,95100,Female,4
Huntington,Technical,Full-time,29,4,38087,Female,2
Ashford,Technical,Unemployed,22,0,12828,Female,6
Maplewood,Technical,Part-time,54,29,26425,Female,2
Ashford,Technical,Full-time,48,27,37291,Female,7
Rosedale,Bachelors,Full-time,45,3,70467,Female,4
Kingsley,Bachelors,Unemployed,45,0,24296,Female,6
Huntington,Technical,Retired,47,0,15693,Other,5
Maplewood,None,Full-time,35,1,20786,Other,5
Huntington,Technical,Full-time,61,7,40406,Male,4
Rosedale,Technical,Full-time,44,9,38491,Female,4
Huntington,Technical,Full-time,52,13,38392,Female,6
Maplewood,Postgraduate,Part-time,43,7,57268,Male,3
Rosedale,Bachelors,Unemployed,74,0,21632,Female,7
Huntington,Bachelors,Full-time,56,14,68783,Male,6
Kingsley,Bachelors,Retired,66,0,39081,Female,3
Rosedale,Bachelors,Full-time,68,16,70973,Female,3
Rosedale,Bachelors,Retired,77,0,35969,Male,3
Kingsley,Bachelors,Retired,35,0,38981,Male,6
Ashford,Bachelors,Full-time,50,17,69648,Female,1
Maplewood,Technical,Full-time,42,5,39939,Male,1
Ashford,Bachelors,Part-time,73,22,45850,Male,5
Huntington,Bachelors,Full-time,48,29,73024,Male,1
Kingsley,Postgraduate,Full-time,54,22,102857,Female,1
Ashford,Bachelors,Part-time,76,34,38018,Female,3
Rosedale,Bachelors,Unemployed,77,0,17953,Female,3
Huntington,Technical,Full-time,19,0,44382,Male,4
Huntington,Bachelors,Retired,50,0,33657,Female,3
Ashford,Technical,Full-time,56,14,39846,Female,6
Ashford,Technical,Retired,78,0,17296,Male,4
Kingsley,Technical,Part-time,60,23,19774,Female,7
Maplewood,Bachelors,Unemployed,60,0,18811,Female,4
Ashford,Technical,Full-time,80,62,44572,Female,1
Ashford,Technical,Part-time,49,27,22182,Male,3
Rosedale,Postgraduate,Part-time,35,15,62867,Male,1
Huntington,Technical,Full-time,34,15,39329,Male,3
Maplewood,Bachelors,Full-time,51,5,71167,Male,1
Rosedale,Bachelors,Full-time,56,1,68097,Female,7
Kingsley,None,Full-time,24,5,16404,Male,1
Kingsley,Bachelors,Unemployed,59,0,21101,Female,1
Ashford,None,Full-time,71,12,16369,Male,6
Ashford,Bachelors,Full-time,70,43,70497,Male,7
Kingsley,Bachelors,Retired,52,0,36665,Female,5
Ashford,Bachelors,Full-time,47,14,67064,Male,7
Maplewood,Bachelors,Part-time,29,10,39765,Female,1
Ashford,Technical,Full-time,52,8,37817,Male,2
Huntington,None,Unemployed,28,0,8791,Male,2
Ashford,Bachelors,Unemployed,78,0,16716,Female,2
Rosedale,Bachelors,Unemployed,61,0,20040,Female,6
Maplewood,Postgraduate,Full-time,74,33,96711,Male,4
Rosedale,Postgraduate,Retired,21,0,54417,Male,1
Rosedale,Postgraduate,Full-time,42,16,100367,Female,7
Huntington,Bachelors,Full-time,65,26,71261,Other,2
Maplewood,Technical,Full-time,49,28,35008,Female,6
Maplewood,Bachelors,Part-time,37,4,45789,Male,4
Maplewood,Bachelors,Full-time,67,42,69118,Other,2
Maplewood,Technical,Part-time,48,21,25086,Male,3
Maplewood,Postgraduate,Full-time,21,2,101383,Male,5
Huntington,Postgraduate,Full-time,71,23,104800,Female,1
Ashford,Bachelors,Retired,55,0,33667,Male,5
Rosedale,None,Full-time,70,6,17246,Male,5
Maplewood,Technical,Retired,80,0,18626,Male,3
Ashford,Postgraduate,Full-time,64,33,97822,Male,3
Ashford,Postgraduate,Retired,18,0,53283,Female,3
Rosedale,Technical,Part-time,20,2,19850,Female,4
Huntington,None,Full-time,54,14,16107,Male,2
Kingsley,Postgraduate,Full-time,39,0,95299,Female,7
Kingsley,Technical,Part-time,79,56,27102,Female,1
Ashford,Bachelors,Retired,34,0,39669,Female,3
Rosedale,Postgraduate,Full-time,79,12,100400,Male,6
Kingsley,None,Full-time,31,6,16082,Other,1
Ashford,Bachelors,Unemployed,58,0,24167,Female,7
Huntington,None,Part-time,79,37,16557,Male,1
Kingsley,Technical,Full-time,52,31,37800,Male,1
Ashford,Postgraduate,Full-time,75,44,98951,Male,3
Ashford,Bachelors,Full-time,30,1,73967,Female,3
Maplewood,Postgraduate,Part-time,52,34,61768,Male,2
Huntington,Bachelors,Full-time,60,0,66452,Female,7
Maplewood,Technical,Unemployed,19,0,8681,Male,3
Rosedale,Technical,Full-time,73,46,37303,Female,3
Maplewood,Technical,Full-time,64,44,42157,Male,1
Maplewood,Technical,Part-time,30,4,20851,Female,2
Kingsley,None,Unemployed,68,0,2897,Female,5
Ashford,Technical,Retired,71,0,20825,Male,3
Huntington,Bachelors,Full-time,33,8,74519,Male,6
Maplewood,Bachelors,Retired,35,0,38806,Male,3
Huntington,Bachelors,Part-time,24,4,37244,Female,5
Maplewood,Bachelors,Full-time,62,4,73948,Female,1
Rosedale,None,Full-time,53,31,24015,Male,7
Maplewood,Technical,Full-time,58,20,38807,Male,2
Kingsley,Bachelors,Full-time,47,23,67779,Male,1
Ashford,Bachelors,Unemployed,59,0,17846,Female,7
Rosedale,None,Full-time,58,17,22021,Female,4
Maplewood,Postgraduate,Unemployed,24,0,34432,Female,3
Huntington,Bachelors,Part-time,32,4,37473,Male,7
Rosedale,Bachelors,Part-time,77,53,41131,Male,6
Rosedale,None,Part-time,57,9,8792,Other,7
Maplewood,Bachelors,Full-time,36,7,66734,Male,4
Rosedale,Bachelors,Full-time,60,20,72215,Female,3
Huntington,Bachelors,Full-time,54,24,72229,Male,4
Rosedale,Bachelors,Part-time,19,1,42188,Male,5
Huntington,Postgraduate,Full-time,59,22,100281,Female,3
Maplewood,Bachelors,Retired,65,0,35858,Other,6
Ashford,Technical,Full-time,72,21,35944,Other,3
Rosedale,Bachelors,Full-time,30,3,66511,Male,4
Ashford,Bachelors,Full-time,57,33,69081,Male,2
Huntington,Bachelors,Unemployed,58,0,22118,Female,4
Rosedale,Technical,Retired,60,0,15858,Female,3
Kingsley,Technical,Full-time,60,5,38560,Female,3
Ashford,Postgraduate,Part-time,72,27,63421,Male,7
Rosedale,Bachelors,Full-time,75,30,73369,Female,2
Ashford,Postgraduate,Unemployed,48,0,27615,Female,1
Rosedale,Bachelors,Part-time,33,2,38613,Female,2
Maplewood,Bachelors,Full-time,59,38,67840,Female,1
Ashford,Bachelors,Part-time,78,41,38774,Male,6
Kingsley,Postgraduate,Full-time,73,22,98871,Other,3
Kingsley,Bachelors,Unemployed,61,0,24273,Female,7
Huntington,Bachelors,Full-time,74,5,65845,Female,5
Rosedale,Technical,Part-time,23,1,28408,Female,5
Ashford,Bachelors,Full-time,45,23,68260,Female,4
Huntington,Bachelors,Retired,49,0,33145,Female,2
Ashford,Technical,Retired,61,0,22802,Male,2
Rosedale,Technical,Part-time,27,0,21263,Male,5
Kingsley,Technical,Part-time,67,44,27636,Male,1
Maplewood,Technical,Unemployed,35,0,15155,Male,2
Kingsley,Technical,Full-time,21,0,35922,Male,1
Huntington,Bachelors,Full-time,80,5,71695,Male,1
Maplewood,Postgraduate,Full-time,26,4,99288,Male,1
Huntington,Bachelors,Unemployed,24,0,21758,Male,1
Rosedale,Technical,Full-time,67,44,43131,Male,7
Maplewood,None,Retired,25,0,7630,Male,4
Huntington,Bachelors,Part-time,60,28,44816,Female,4
Rosedale,Technical,Full-time,24,3,44359,Female,7
Kingsley,Postgraduate,Full-time,58,38,102556,Male,5
Rosedale,Bachelors,Full-time,57,2,70930,Female,4
Ashford,Bachelors,Full-time,20,0,72000,Female,6
Rosedale,Technical,Full-time,34,15,38512,Male,7
Rosedale,Bachelors,Full-time,19,1,71066,Female,2
Ashford,Technical,Unemployed,32,0,16087,Female,6
Huntington,Postgraduate,Unemployed,63,0,28722,Female,7
Huntington,Bachelors,Full-time,46,11,70648,Male,4
Rosedale,Technical,Full-time,67,18,37060,Female,2
Ashford,Technical,Full-time,65,7,38034,Male,2
Ashford,Technical,Part-time,69,43,21387,Female,1
Kingsley,Bachelors,Retired,39,0,37008,Other,5
Huntington,Technical,Full-time,21,2,43031,Female,1
Maplewood,Bachelors,Full-time,74,1,66799,Female,7
Huntington,Technical,Retired,69,0,19407,Male,1
Huntington,Bachelors,Part-time,23,4,39780,Other,6
Kingsley,Postgraduate,Full-time,55,29,96127,Female,4
Maplewood,Bachelors,Part-time,43,16,45530,Male,6
Kingsley,Bachelors,Full-time,28,6,72365,Female,4
Maplewood,Technical,Full-time,43,12,42611,Male,6
Rosedale,None,Retired,34,0,12535,Male,2
Maplewood,Bachelors,Retired,41,0,39364,Female,4
Kingsley,Technical,Full-time,45,0,37808,Male,4
Huntington,Bachelors,Unemployed,52,0,20297,Female,6
Maplewood,None,Full-time,48,5,19559,Male,3
Maplewood,Technical,Retired,30,0,15448,Male,2
Ashford,None,Full-time,71,12,20008,Other,7
Huntington,Postgraduate,Unemployed,52,0,29893,Male,2
Rosedale,Technical,Unemployed,33,0,7793,Female,7
Kingsley,Bachelors,Full-time,32,10,65436,Female,3
Rosedale,None,Unemployed,60,0,7012,Female,6
Huntington,Bachelors,Retired,35,0,35869,Female,6
Maplewood,Technical,Retired,64,0,16620,Female,2
Maplewood,Postgraduate,Full-time,54,9,99308,Male,6
Huntington,Postgraduate,Retired,65,0,45948,Female,5
Maplewood,Technical,Unemployed,79,0,10944,Male,5
Maplewood,Postgraduate,Full-time,65,47,104319,Female,7
Maplewood,Postgraduate,Unemployed,66,0,25191,Female,3
Kingsley,Postgraduate,Full-time,58,25,96403,Female,4
Kingsley,Postgraduate,Full-time,44,23,96990,Female,5
Ashford,Technical,Part-time,72,54,20104,Female,7
Rosedale,Bachelors,Part-time,52,19,37548,Female,6
Huntington,None,Part-time,69,16,12761,Female,3
Huntington,None,Full-time,62,16,23762,Male,7
Huntington,Postgraduate,Unemployed,71,0,32903,Male,7
Ashford,Technical,Full-time,52,3,36784,Female,5
Kingsley,Bachelors,Full-time,45,4,65804,Female,1
Ashford,Postgraduate,Full-time,56,22,103990,Male,3
Huntington,Postgraduate,Part-time,78,45,63802,Male,2
Rosedale,Postgraduate,Unemployed,55,0,32517,Male,7
Maplewood,Technical,Part-time,26,3,25831,Other,5
Kingsley,None,Retired,29,0,11917,Female,2
Kingsley,Bachelors,Full-time,32,9,74998,Male,3
Ashford,Technical,Part-time,38,13,23238,Male,5
Kingsley,None,Full-time,69,27,18260,Male,2
Huntington,Technical,Full-time,52,32,39367,Male,4
Huntington,Bachelors,Full-time,59,25,70651,Male,7
Ashford,Bachelors,Part-time,50,28,40371,Female,4
Huntington,Technical,Part-time,68,26,21093,Other,1
Rosedale,Bachelors,Retired,36,0,34001,Male,6
Ashford,Technical,Full-time,72,17,41556,Male,3
Rosedale,None,Full-time,40,7,22810,Male,6
Maplewood,Bachelors,Part-time,30,11,41554,Male,6
Rosedale,Bachelors,Full-time,80,9,74624,Male,2
Maplewood,Bachelors,Unemployed,61,0,18517,Male,1
Maplewood,None,Part-time,18,0,15697,Male,3
Rosedale,Postgraduate,Full-time,68,41,100805,Female,4
Ashford,Bachelors,Unemployed,46,0,17096,Female,6
Huntington,Bachelors,Part-time,41,4,46236,Female,2
Huntington,Bachelors,Full-time,33,9,72061,Male,6
Maplewood,Postgraduate,Part-time,42,17,57204,Female,5
Maplewood,Bachelors,Full-time,72,20,68902,Other,4
Ashford,Bachelors,Retired,40,0,31352,Male,6
Kingsley,Postgraduate,Retired,45,0,46596,Male,5
Rosedale,Bachelors,Unemployed,64,0,24767,Female,5
Maplewood,Bachelors,Part-time,33,7,43980,Male,2
Huntington,Bachelors,Full-time,60,37,65679,Male,2
Ashford,Technical,Retired,73,0,18712,Female,5
Rosedale,Technical,Full-time,55,2,44321,Female,1
Ashford,Bachelors,Part-time,28,7,45509,Male,6
Rosedale,Postgraduate,Part-time,20,2,60301,Female,5
Rosedale,Postgraduate,Full-time,32,13,100734,Female,5
Maplewood,Technical,Full-time,18,0,42981,Male,2
Ashford,Bachelors,Unemployed,24,0,21892,Female,6
Ashford,Technical,Unemployed,18,0,10696,Male,3
Huntington,Postgraduate,Full-time,66,40,102129,Male,4
Huntington,Postgraduate,Full-time,49,4,97996,Female,2
Maplewood,Bachelors,Full-time,26,1,72237,Male,6
Maplewood,Postgraduate,Unemployed,46,0,32327,Male,6
Kingsley,Bachelors,Full-time,43,1,72407,Male,7
Huntington,Bachelors,Retired,40,0,32542,Female,1
Rosedale,None,Full-time,62,38,15678,Female,4
Ashford,Bachelors,Part-time,60,41,42366,Male,2
Maplewood,Bachelors,Full-time,46,11,70643,Female,2
Ashford,Bachelors,Retired,69,0,37410,Male,3
Ashford,Technical,Full-time,55,33,44835,Female,7
Kingsley,Postgraduate,Part-time,50,19,60541,Male,7
Huntington,Technical,Full-time,24,0,35834,Female,1
Maplewood,Bachelors,Retired,29,0,39860,Other,7
Ashford,Bachelors,Unemployed,48,0,22026,Female,1
Maplewood,Bachelors,Full-time,49,3,73472,Male,6
Rosedale,Bachelors,Unemployed,71,0,23970,Female,6
Kingsley,Technical,Part-time,37,12,25818,Male,2
Rosedale,Technical,Full-time,72,43,40028,Female,3
Maplewood,Bachelors,Full-time,68,10,69703,Male,2
Maplewood,Bachelors,Full-time,34,9,74438,Male,7
Huntington,Technical,Retired,53,0,16772,Male,5
Ashford,Bachelors,Retired,20,0,32164,Male,6
Ashford,Bachelors,Full-time,18,0,72111,Female,5
Rosedale,Bachelors,Part-time,67,46,45383,Female,7
Kingsley,Postgraduate,Retired,44,0,47835,Female,3
Ashford,Technical,Unemployed,70,0,9665,Female,2
Huntington,None,Part-time,64,4,13113,Female,6
Rosedale,Bachelors,Unemployed,57,0,18563,Male,3
Rosedale,Bachelors,Part-time,50,24,45498,Male,2
Huntington,Bachelors,Full-time,37,16,73131,Male,2
Kingsley,Postgraduate,Retired,31,0,53723,Male,5
Huntington,Postgraduate,Full-time,53,33,97696,Male,4
Kingsley,Postgraduate,Full-time,22,0,99687,Male,7
Huntington,Bachelors,Full-time,40,5,72321,Male,1
Huntington,Bachelors,Retired,62,0,37013,Male,6
Maplewood,Bachelors,Retired,77,0,37704,Female,1
Rosedale,Technical,Full-time,73,17,40571,Male,3
Huntington,Bachelors,Full-time,32,13,72336,Female,1
Huntington,Technical,Full-time,23,2,35058,Female,5
Ashford,Postgraduate,Part-time,50,13,64765,Female,4
Rosedale,Bachelors,Full-time,72,39,66140,Male,6
Ashford,Bachelors,Retired,36,0,32562,Male,7
Rosedale,Technical,Full-time,80,16,37852,Male,2
Ashford,None,Full-time,30,11,21641,Male,2
Huntington,None,Full-time,46,2,15941,Male,7
Huntington,Bachelors,Full-time,78,28,71541,Female,5
Maplewood,None,Unemployed,23,0,10966,Female,6
Ashford,Bachelors,Full-time,32,9,72430,Female,1
Kingsley,Postgraduate,Full-time,33,0,96421,Male,7
Maplewood,Postgraduate,Full-time,41,10,100765,Male,2
Ashford,Bachelors,Full-time,40,7,65435,Female,1
Ashford,Technical,Full-time,65,0,35839,Male,5
Maplewood,Postgraduate,Full-time,27,4,99001,Female,2
Huntington,Postgraduate,Part-time,71,35,60248,Female,3
Ashford,Technical,Part-time,58,6,23959,Male,4
Huntington,Bachelors,Full-time,58,4,66650,Male,1
Maplewood,Technical,Full-time,66,23,40828,Male,7
Huntington,Postgraduate,Unemployed,34,0,34437,Male,6
Rosedale,Postgraduate,Full-time,66,27,97261,Male,1
Kingsley,None,Full-time,73,42,24107,Male,1
Ashford,Postgraduate,Full-time,61,16,100894,Male,1
Kingsley,Bachelors,Full-time,62,36,71278,Female,7
Huntington,Postgraduate,Retired,47,0,48889,Female,5
Ashford,Bachelors,Full-time,61,19,71897,Male,5
Huntington,Postgraduate,Retired,63,0,46326,Female,6
Rosedale,None,Full-time,27,2,20901,Female,5
Maplewood,Technical,Full-time,72,36,38358,Female,7
Ashford,None,Retired,36,0,6585,Female,6
Rosedale,Postgraduate,Full-time,46,25,100645,Male,6
Rosedale,Postgraduate,Part-time,19,0,55388,Male,5
Ashford,Postgraduate,Full-time,53,7,97791,Female,2
Huntington,Postgraduate,Retired,36,0,48332,Female,5
Rosedale,None,Full-time,24,4,15703,Female,2
Kingsley,Technical,Unemployed,43,0,12834,Other,3
Rosedale,None,Full-time,32,2,17820,Female,5
Huntington,Technical,Unemployed,64,0,15053,Male,3
Huntington,Technical,Full-time,73,0,39959,Male,5
Kingsley,Bachelors,Retired,55,0,31059,Male,3
Rosedale,Technical,Full-time,20,0,44490,Female,4
Huntington,Technical,Unemployed,55,0,8301,Female,3
Ashford,Technical,Full-time,80,30,43865,Female,2
Maplewood,Technical,Full-time,33,8,42696,Female,1
Maplewood,Postgraduate,Full-time,19,1,99299,Female,6
Maplewood,Bachelors,Full-time,48,25,71071,Female,3
Rosedale,Postgraduate,Full-time,45,16,99112,Female,1
Kingsley,Bachelors,Unemployed,24,0,23881,Male,7
Huntington,Technical,Unemployed,47,0,16208,Female,4
Ashford,Bachelors,Full-time,60,33,73401,Female,4
Ashford,Technical,Unemployed,75,0,7498,Male,7
Rosedale,Technical,Part-time,79,8,27620,Male,7
Maplewood,Technical,Full-time,24,5,42245,Female,7
Rosedale,Technical,Retired,53,0,17105,Male,2
Kingsley,Technical,Part-time,46,23,28745,Male,7
Kingsley,Technical,Unemployed,41,0,12327,Male,2
Huntington,Bachelors,Full-time,69,50,70630,Female,3
Huntington,None,Part-time,56,12,10206,Female,5
Kingsley,Technical,Full-time,21,0,42137,Male,7
Kingsley,Postgraduate,Full-time,46,8,97569,Male,7
Kingsley,Technical,Full-time,61,12,37628,Other,4
Rosedale,Technical,Unemployed,22,0,13764,Female,1
Kingsley,Postgraduate,Retired,72,0,46067,Female,5
Ashford,Technical,Retired,46,0,16506,Male,4
